epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.32044507329110744,0.9140555555555555,0.12652826257546743,0.96,0.9592864722976928,0.001
2,0.14289129705120016,0.9581851851851851,0.096097200045983,0.9718333333333333,0.9714857438788925,0.001
3,0.11152256129847632,0.9660740740740741,0.08142210481564204,0.975,0.9745801295438046,0.001
4,0.09105146888284772,0.9715555555555555,0.07603114060560862,0.9783333333333334,0.9779448174129444,0.001
5,0.07983496990468766,0.9748148148148148,0.07558747175335884,0.976,0.9756230494973707,0.001
6,0.07394643246575638,0.9776111111111111,0.07001859292387963,0.979,0.9786406103596665,0.001
7,0.06218631810750123,0.9804259259259259,0.07783394528428714,0.9781666666666666,0.9777347510852108,0.001
8,0.05993318681474085,0.9811296296296297,0.06948490442832311,0.9795,0.9792333458607752,0.001
9,0.052164944233717744,0.9833518518518518,0.06361558813850085,0.9825,0.9822382117571579,0.001
10,0.04719792502787378,0.9852777777777778,0.06409685586889585,0.9801666666666666,0.9799497288530852,0.001
11,0.045685152335299385,0.9853888888888889,0.06500278707345326,0.9816666666666667,0.9814863392969221,0.001
12,0.04431618869194278,0.985537037037037,0.06392314347624779,0.9828333333333333,0.9826223364137949,0.001
13,0.041965986162975984,0.9863333333333333,0.060324570586284,0.9825,0.9822945879142437,0.001
14,0.03561624573833413,0.9882407407407408,0.06699191542466482,0.9793333333333333,0.9791182966481866,0.001
15,0.03816700502043521,0.9875555555555555,0.06172394684453805,0.9825,0.9823503174259655,0.001
16,0.03491507140850579,0.9886296296296296,0.0644834648941954,0.9806666666666667,0.9803988022163379,0.0005
17,0.024651205312874583,0.9922222222222222,0.058382346486051874,0.9826666666666667,0.9824445125296138,0.0005
18,0.020548962679312183,0.9932037037037037,0.05711557927603523,0.9846666666666667,0.9844995391271161,0.0005
19,0.018635872939256608,0.9940185185185185,0.05391174230041603,0.9863333333333333,0.986273975438184,0.0005
20,0.017286003826737957,0.9947777777777778,0.05443943082541227,0.9838333333333333,0.9837244339718625,0.0005
21,0.01783384443405602,0.9944444444444445,0.06005514773478111,0.9851666666666666,0.9850290083641294,0.0005
22,0.016433060354656644,0.9945925925925926,0.059581147382656734,0.9851666666666666,0.9849772771744147,0.0005
23,0.014190297465874918,0.9951481481481481,0.05740998641401529,0.986,0.98586131966148,0.00025
24,0.01209124627157494,0.996,0.056353753966589766,0.9858333333333333,0.9856889767273914,0.00025
25,0.011546800878416332,0.9963333333333333,0.06010346052050591,0.9856666666666667,0.9854899122177339,0.00025
26,0.010420736820747454,0.996537037037037,0.05653803983827432,0.9865,0.9863788335223621,0.00025
27,0.009899679224731193,0.9967592592592592,0.05854145383834839,0.9856666666666667,0.9854763250424712,0.00025
28,0.009054278347227308,0.9970740740740741,0.05417337777093053,0.986,0.9858509504327365,0.00025
29,0.008461494008010184,0.997462962962963,0.05653771557038029,0.9856666666666667,0.9855386734567609,0.00025
30,0.008886072325658191,0.997,0.05713631998002529,0.9865,0.9862981239942297,0.000125
31,0.00848078741038356,0.9971111111111111,0.05510014015932878,0.9866666666666667,0.9865102583260844,0.000125
32,0.007545854791929876,0.9977037037037036,0.05315396229674419,0.9855,0.9853312573152285,0.000125
33,0.006760271858596415,0.9978148148148148,0.056091449889043965,0.9863333333333333,0.986203259270144,0.000125
34,0.006794009973846928,0.9981296296296296,0.05541815937062104,0.9863333333333333,0.9861928132397532,0.000125
35,0.006257009715497218,0.9980925925925926,0.05538396011541287,0.9865,0.9863605081798792,6.25e-05
36,0.0058433275984220755,0.9982407407407408,0.055667065175871056,0.987,0.9868788612398568,6.25e-05
37,0.006535552282420988,0.9977592592592592,0.05581971865395705,0.9865,0.9863835633817948,6.25e-05
38,0.005469725620303372,0.9981851851851852,0.05563197466855248,0.9866666666666667,0.9865586901030408,6.25e-05
39,0.006146888350878186,0.9980370370370371,0.05596634329110384,0.9856666666666667,0.9855249502203595,6.25e-05
40,0.005225428293476364,0.9983703703703704,0.05524788379420837,0.986,0.985868722612099,3.125e-05
41,0.005550891867062698,0.9983518518518518,0.05542595325037837,0.9866666666666667,0.986552405659826,3.125e-05
42,0.004873254713602364,0.9984074074074074,0.05566304977238178,0.9863333333333333,0.9861922531960138,3.125e-05
43,0.0050772303070838526,0.9983703703703704,0.05485681256527702,0.9868333333333333,0.9867140518256529,3.125e-05
